 "Li Shengsu"  "Chi Xiaoqiu" 
 Mean Std Mean Std
xiang 2412.7162457765453 308.13194821940675 1723.9700165525007 233.56503242159152
qi 2622.5485916137695 436.13182982831546 1728.8249749563486 186.65653778372729
liao 2419.5094164832162 378.62533416156407 1678.780952785326 136.49359205843737
dang 2522.9801614368007 322.14891881218773 1783.5664857274337 342.202314957819
nian 2784.9845919095551 358.48740932244317 1574.6795472589158 191.64392966155722
shi 2069.1928339675756 367.83693829007967 1604.8033801312972 336.64969551928669
hao 2260.0397590327311 304.04291014892868 1391.6502438449529 269.85177124369812
bu 2299.1365565938918 414.4706103625395 1399.5523572136374 285.35304528534692
